 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.3045115,0.07547462,-0.9521912,-1.046399,-0.8586395
0.3045117,0.07547545,-0.9482543,-1.042321,-0.854837
0.3045127,0.07547587,-0.944332,-1.038259,-0.8510479
0.3045129,0.07547602,-0.9404242,-1.034214,-0.847272
0.3045132,0.07547617,-0.9365307,-1.030183,-0.8435091
0.3045139,0.07547628,-0.9326514,-1.026168,-0.8397592
0.3045139,0.07547684,-0.928786,-1.022169,-0.8360221
0.3045143,0.07547702,-0.9249345,-1.018184,-0.8322975
0.3045156,0.07547865,-0.9210966,-1.014215,-0.8285854
0.3045167,0.07547867,-0.9172722,-1.01026,-0.8248857
0.3045168,0.0754789,-0.9134613,-1.00632,-0.8211982
0.3045169,0.0754792,-0.9096635,-1.002394,-0.8175228
0.3045169,0.07548004,-0.9058788,-0.9984826,-0.8138593
0.3045174,0.07548317,-0.9021071,-0.9945852,-0.8102077
0.3045178,0.07548384,-0.8983481,-0.9907018,-0.8065677
0.3045182,0.0754849,-0.8946018,-0.9868322,-0.8029393
0.3045189,0.0754858,-0.890868,-0.9829762,-0.7993224
0.3045208,0.07548702,-0.8871466,-0.9791338,-0.7957168
0.3045209,0.07548747,-0.8834374,-0.9753047,-0.7921223
0.3045217,0.07548772,-0.8797403,-0.9714888,-0.788539
0.3045219,0.07548904,-0.8760552,-0.967686,-0.7849666
0.3045222,0.07548913,-0.872382,-0.9638961,-0.7814051
0.3045226,0.07548922,-0.8687205,-0.9601189,-0.7778544
0.3045231,0.07548949,-0.8650707,-0.9563545,-0.7743142
0.3045232,0.07548958,-0.8614323,-0.9526025,-0.7707846
0.3045236,0.07549012,-0.8578053,-0.9488629,-0.7672654
0.3045238,0.07549151,-0.8541895,-0.9451356,-0.7637565
0.3045239,0.07549161,-0.8505849,-0.9414204,-0.7602578
0.304524,0.07549166,-0.8469912,-0.9377172,-0.7567691
0.3045242,0.07549184,-0.8434085,-0.9340258,-0.7532906
0.3045253,0.07549317,-0.8398366,-0.9303462,-0.7498218
0.3045255,0.07549354,-0.8362754,-0.9266783,-0.7463629
0.3045257,0.07549377,-0.8327247,-0.9230218,-0.7429137
0.304526,0.07549413,-0.8291845,-0.9193767,-0.739474
0.3045261,0.07549515,-0.8256547,-0.9157429,-0.7360439
0.3045264,0.0754954,-0.8221351,-0.9121202,-0.7326232
0.3045271,0.07549591,-0.8186257,-0.9085086,-0.7292117
0.3045285,0.07549622,-0.8151263,-0.9049079,-0.7258096
0.3045285,0.07549639,-0.8116369,-0.9013181,-0.7224165
0.3045298,0.07549642,-0.8081574,-0.8977389,-0.7190325
0.3045332,0.07549653,-0.8046876,-0.8941704,-0.7156574
0.3045332,0.07549679,-0.8012274,-0.8906123,-0.7122912
0.3045354,0.07549704,-0.7977768,-0.8870647,-0.7089338
0.3045367,0.07549723,-0.7943357,-0.8835273,-0.7055851
0.3045369,0.07549772,-0.790904,-0.8800001,-0.702245
0.3045378,0.07549784,-0.7874816,-0.8764831,-0.6989134
0.304538,0.0754979,-0.7840684,-0.872976,-0.6955903
0.3045421,0.07549822,-0.7806642,-0.8694788,-0.6922755
0.3045423,0.07549925,-0.7772691,-0.8659914,-0.688969
0.3045427,0.07549926,-0.773883,-0.8625137,-0.6856707
0.3045466,0.07549944,-0.7705057,-0.8590456,-0.6823806
0.3045475,0.07550009,-0.7671371,-0.855587,-0.6790985
0.3045495,0.07550012,-0.7637772,-0.8521379,-0.6758244
0.3045512,0.07550076,-0.760426,-0.8486981,-0.6725582
0.3045514,0.07550139,-0.7570832,-0.8452675,-0.6692998
0.3045514,0.07550401,-0.7537489,-0.8418461,-0.6660492
0.3045534,0.07550408,-0.750423,-0.8384338,-0.6628063
0.3045537,0.07550471,-0.7471053,-0.8350304,-0.6595709
0.3045552,0.0755054,-0.7437958,-0.831636,-0.6563431
0.3045554,0.07550559,-0.7404945,-0.8282503,-0.6531228
0.3045569,0.07550573,-0.7372012,-0.8248735,-0.6499099
0.3045576,0.0755068,-0.7339159,-0.8215052,-0.6467043
0.3045598,0.07550707,-0.7306385,-0.8181455,-0.643506
0.3045609,0.07550729,-0.7273689,-0.8147943,-0.6403148
0.304562,0.07550919,-0.7241071,-0.8114516,-0.6371308
0.3045659,0.07550955,-0.7208529,-0.8081172,-0.6339539
0.3045659,0.07550982,-0.7176064,-0.804791,-0.6307839
0.3045669,0.07551003,-0.7143674,-0.801473,-0.627621
0.3045681,0.07551023,-0.7111359,-0.7981631,-0.6244648
0.3045691,0.07551086,-0.7079119,-0.7948613,-0.6213155
0.3045696,0.07551164,-0.7046951,-0.7915674,-0.618173
0.304573,0.07551182,-0.7014856,-0.7882814,-0.6150371
0.3045773,0.07551183,-0.6982834,-0.7850032,-0.6119079
0.3045798,0.075512,-0.6950882,-0.7817327,-0.6087853
0.3045814,0.07551394,-0.6919002,-0.77847,-0.6056691
0.3045815,0.07551484,-0.6887192,-0.7752148,-0.6025594
0.3045826,0.07551546,-0.6855451,-0.7719672,-0.5994561
0.3045848,0.07551547,-0.6823779,-0.7687271,-0.5963592
0.3141994,0.07551639,-0.6792176,-0.7654943,-0.5932685
0.3142233,0.07551659,-0.676064,-0.7622689,-0.590184
0.3142582,0.0755166,-0.6729172,-0.7590508,-0.5871058
0.3142591,0.07551808,-0.6697769,-0.7558398,-0.5840336
0.3142592,0.07551946,-0.6666433,-0.752636,-0.5809675
